s_m,x_m,y_m,vx_mps,width_left_m,width_right_m
16.4984602,0.9929754,2.5806913,4.4603810,0.7086522,0.8623603
16.5984509,1.0867835,2.6032112,4.4532254,0.6737457,0.9005421
16.6984415,1.1801396,2.6201104,4.4504972,0.6388392,0.9387238
16.7984322,1.2735453,2.6318025,4.4541669,0.6039327,0.9769056
16.8984229,1.3739184,2.6389530,4.4670910,0.5690262,1.0150873
16.9984135,1.4737082,2.6412342,4.5110718,0.5341197,1.0532691
17.0984042,1.5731507,2.6395795,4.5883317,0.4992132,1.0914508
17.1983949,1.6724816,2.6349223,4.6934274,0.4643067,1.1296326
17.2983855,1.7719370,2.6281960,4.7958129,0.4463717,1.1494217
17.3983762,1.8717528,2.6203338,4.8956599,0.4441028,1.1522328
17.4983669,1.9719734,2.6122842,4.9931222,0.4418339,1.1550440
17.5983575,2.0700545,2.6050969,5.0869088,0.4395650,1.1578552
17.6983482,2.1688287,2.5991511,4.9284316,0.4372961,1.1606664
17.7983389,2.2682252,2.5950202,4.7859071,0.4350271,1.1634776
17.8983295,2.3681734,2.5932776,4.6582044,0.4327582,1.1662888
17.9983202,2.4686023,2.5944966,4.5443298,0.4304893,1.1691000
18.0983109,2.5694412,2.5992507,4.4432315,0.4254628,1.1743204
18.1983015,2.6706192,2.6081133,4.3535812,0.4191386,1.1806745
18.2982922,2.7700033,2.6213158,4.2674085,0.4128144,1.1870286
18.3982829,2.8687029,2.6392523,4.1857551,0.4064902,1.1933827
18.4982735,2.9665203,2.6622413,4.1115242,0.4001660,1.1997369
18.5982642,3.0628391,2.6905551,4.0479812,0.3938418,1.2060910
18.6982549,3.1570432,2.7244661,3.9988089,0.3875176,1.2124451
18.7982456,3.2485162,2.7642465,3.9680899,0.3811934,1.2187993
18.8982362,3.3366419,2.8101687,3.9601571,0.3576620,1.2427690
18.9982269,3.4207991,2.8624822,3.9522084,0.3308532,1.2700941
19.0982176,3.5007635,2.9209968,3.9445440,0.3040443,1.2974192
19.1982082,3.5768177,2.9849938,3.9712784,0.2772355,1.3247443
19.2981989,3.6492510,3.0537066,4.0278591,0.2504266,1.3520694
19.3981896,3.7183529,3.1263686,4.1098451,0.2236177,1.3793945
19.4981802,3.7844127,3.2022133,4.2134478,0.1968089,1.4067196
19.5981709,3.8477199,3.2804741,4.3291856,0.1700000,1.4340447
