x_m,y_m,width_left_m,width_right_m,vx_mps
-62.6016892,36.7192998,0.5,1.6149377,15
-62.6631691,36.7981672,0.5,1.6166556,15
-62.7248168,36.8769037,0.5,1.6183734,15
-62.7866323,36.9555089,0.5,1.6200912,15
-62.8486156,37.0339819,0.5,1.6218091,15
-62.9107667,37.1123223,0.5,1.6235269,15
-62.9730855,37.1905294,0.5,1.6252447,15
-63.0355722,37.2686026,0.5,1.6269625,15
-63.0982266,37.3465413,0.5,1.6286804,15
-63.1610486,37.4243447,0.5,1.6303982,15
-63.2240377,37.5020129,0.5013199,1.6298342,15
-63.2871923,37.5795465,0.5028797,1.6288552,15
-63.3505111,37.6569462,0.5044395,1.6278763,15
-63.4139924,37.7342125,0.5059994,1.6268974,15
-63.4776347,37.8113462,0.5075592,1.6259185,15
-63.5414366,37.8883478,0.509119,1.6249396,15
-63.6053966,37.9652181,0.5106789,1.6239607,15
-63.6695131,38.0419577,0.5122387,1.6229818,15
-63.7337846,38.1185671,0.5137985,1.6220029,15
-63.7982102,38.1950479,0.5153584,1.621024,15
-63.8627885,38.271401,0.5183901,1.6182847,15
-63.927517,38.3476264,0.5217018,1.6152108,15
-63.9923938,38.4237253,0.5250134,1.6121368,15
-64.0574172,38.4996986,0.5283251,1.6090628,15
-64.1225854,38.5755474,0.5316367,1.6059889,15
-64.1878967,38.6512727,0.5349483,1.6029149,15
-64.2533492,38.7268756,0.53826,1.5998409,15
-64.3189413,38.802357,0.5415716,1.596767,15
-64.3846711,38.877718,0.5448833,1.593693,15
-64.450538,38.9529608,0.5481949,1.590619,15
-64.5165404,39.0280867,0.5531468,1.5912479,15
-64.5826754,39.1030954,0.5584244,1.5926122,15
-64.6489412,39.1779881,0.5637021,1.5939764,15
-64.7153362,39.2527657,0.5689797,1.5953407,15
-64.7818588,39.3274295,0.5742573,1.5967049,15
-64.8485071,39.4019805,0.579535,1.5980692,15
-64.9152796,39.47642,0.5848126,1.5994334,15
-64.9821745,39.5507489,0.5900902,1.6007977,15
-65.0491902,39.6249684,0.5953679,1.6021619,15
-65.1163261,39.6990809,0.6006455,1.6035262,15
-65.1835808,39.7730878,0.6024909,1.5985881,15
-65.2509513,39.8469888,0.6036253,1.5923445,15
-65.318436,39.920785,0.6047598,1.5861009,15
-65.3860332,39.9944776,0.6058942,1.5798574,15
-65.4537414,40.0680678,0.6070287,1.5736138,15
-65.5215589,40.1415569,0.6081631,1.5673702,15
-65.5894842,40.214946,0.6092976,1.5611266,15
-65.6575155,40.2882362,0.610432,1.5548831,15
-65.7256513,40.3614289,0.6115665,1.5486395,15
-65.7938911,40.4345263,0.6127009,1.5423959,15
-65.8622333,40.5075297,0.6145796,1.5442499,15
-65.9306752,40.5804392,0.616619,1.5478515,15
-65.9992153,40.653256,0.6186584,1.5514531,15
-66.067852,40.7259813,0.6206978,1.5550547,15
-66.1365837,40.7986164,0.6227372,1.5586563,15
-66.205409,40.8711626,0.6247766,1.562258,15
-66.2743262,40.9436211,0.626816,1.5658596,15
-66.3433338,41.0159932,0.6288553,1.5694612,15
-66.4124303,41.0882801,0.6308947,1.5730628,15
-66.4816148,41.1604839,0.6329341,1.5766644,15
-66.5508859,41.2326059,0.6343273,1.5761327,15
-66.6202412,41.3046466,0.6355753,1.5746724,15
-66.6896792,41.3766072,0.6368234,1.5732121,15
-66.7591985,41.4484891,0.6380714,1.5717518,15
-66.8287976,41.5202936,0.6393194,1.5702915,15
-66.8984749,41.592022,0.6405675,1.5688312,15
-66.9682289,41.6636756,0.6418155,1.5673709,15
-67.0380582,41.7352557,0.6430636,1.5659106,15
-67.1079611,41.8067637,0.6443116,1.5644503,15
-67.1779367,41.8782011,0.6455596,1.56299,15
-67.2479833,41.9495693,0.6434187,1.5597956,15
-67.3180992,42.0208693,0.6404861,1.5561962,15
-67.388283,42.0921024,0.6375536,1.5525968,15
-67.4585331,42.1632701,0.6346211,1.5489974,15
-67.5288481,42.2343737,0.6316886,1.545398,15
-67.5992265,42.3054144,0.628756,1.5417986,15
-67.6696669,42.3763938,0.6258235,1.5381992,15
-67.7401679,42.447313,0.622891,1.5345998,15
-67.8107279,42.5181735,0.6199584,1.5310004,15
-67.8813453,42.5889765,0.6170259,1.527401,15
-67.9520187,42.6597232,0.6160438,1.5323206,15
-68.0227468,42.7304153,0.6155349,1.5393074,15
-68.0935282,42.8010542,0.615026,1.5462941,15
-68.1643615,42.8716413,0.614517,1.5532809,15
-68.2352452,42.9421779,0.6140081,1.5602677,15
-68.306178,43.0126654,0.6134992,1.5672544,15
-68.3771584,43.0831053,0.6129903,1.5742412,15
-68.4481849,43.1534988,0.6124814,1.5812279,15
-68.5192561,43.2238475,0.6119725,1.5882147,15
-68.5903699,43.2941517,0.6114636,1.5952015,15
-68.6615248,43.3644133,0.6104564,1.5975526,15
-68.7327203,43.4346341,0.6093236,1.5987363,15
-68.8039548,43.5048156,0.6081908,1.59992,15
-68.8752271,43.5749593,0.6070581,1.6011038,15
-68.9465356,43.6450665,0.6059253,1.6022875,15
-69.017879,43.7151386,0.6047925,1.6034712,15
-69.0892558,43.7851771,0.6036598,1.6046549,15
-69.1606647,43.8551833,0.602527,1.6058386,15
-69.2321043,43.9251587,0.6013942,1.6070223,15
-69.3035717,43.9951034,0.6002614,1.608206,15
-69.3750659,44.0650191,0.5963509,1.6071911,15
-69.4465866,44.1349082,0.5917148,1.605602,15
-69.5181324,44.2047722,0.5870787,1.6040129,15
-69.5897018,44.2746125,0.5824427,1.6024237,14.9567407
-69.6612935,44.3444305,0.5778066,1.6008346,14.8509157
-69.7329061,44.4142277,0.5731705,1.5992455,14.7444026
-69.8045382,44.4840054,0.5685344,1.5976563,14.6371949
-69.8761884,44.5537652,0.5638983,1.5960672,14.5292855
-69.9478553,44.6235083,0.5592622,1.5944781,14.4206669
-70.0195356,44.6932346,0.5546262,1.592889,14.3113309
-70.0912286,44.7629459,0.5522041,1.5985484,14.2012692
-70.1629341,44.832645,0.5503814,1.6061699,14.090473
-70.2346508,44.9023332,0.5485586,1.6137914,13.9789335
-70.3063773,44.9720121,0.5467358,1.6214129,13.8666411
-70.3781121,45.041683,0.5449131,1.6290343,13.753586
-70.449854,45.1113475,0.5430903,1.6366558,13.6397577
-70.5216014,45.1810069,0.5412675,1.6442773,13.5251452
